goal4_month1.csv
median,0.607,0.718,0.625,0.875,0.608,0.25,0.233
std,10.972,17.245,12.77,46.349,13.798,9.663,6.765
iqr,1.51,2.492,1.676,2.124,1.45,0.84,0.698
win,555,463,534,456,568,851,951
goal7_month6.csv
25%,0.132,0.198,0.111,0.074,0.111,0.018,0.016
75%,0.5,0.698,0.412,0.374,0.484,0.267,0.3
median,0.273,0.418,0.225,0.194,0.25,0.092,0.097
std,1.788,4.162,1.489,1.381,1.159,1.055,0.937
iqr,0.368,0.499,0.302,0.3,0.372,0.25,0.284
win,480,327,601,694,548,885,866
goal2_month1.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,1.0,1.0,1.0,1.0,0.333,0.268
median,0.25,0.324,0.286,0.2,0.333,0.0,0.0
std,0.835,0.861,0.826,1.649,0.931,0.629,0.537
iqr,1.0,1.0,1.0,1.0,1.0,0.333,0.268
win,539,553,534,616,546,861,897
goal7_month1.csv
25%,0.1,0.172,0.099,0.064,0.095,0.006,0.002
75%,0.437,0.648,0.353,0.333,0.431,0.217,0.222
median,0.229,0.375,0.2,0.158,0.228,0.068,0.067
std,1.139,3.64,1.58,1.329,2.143,1.087,0.622
iqr,0.337,0.476,0.254,0.269,0.336,0.211,0.22
win,469,302,532,654,498,868,891
goal2_month6.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,1.0,1.0,1.0,1.0,0.5,0.333
median,0.333,0.333,0.333,0.308,0.333,0.0,0.0
std,0.9,0.994,0.925,1.724,1.069,0.687,0.613
iqr,1.0,1.0,1.0,1.0,1.0,0.5,0.333
win,524,516,486,573,519,870,877
